Customer_ID,Age,Monthly_Spend,Complaints,Churn
C001,58,2324,0,1
C002,26,2179,5,1
C003,52,1924,4,1
 C004 ,31,4311,4,1
C005,56,934,4,1
C006,52,7373,1,0
C007,46,5057,0,0
C008,,6074,2,0
C009,27,4027,2,1
C010,40,6135,4,1
C011,34,1211,5,1
C012, 25 ,1791,4,1
C013,36,6425,4,1
C014,60,4233,2,1
C015,23,4314,0,0
C016,41,3164,2,1
C017,40,3932,5,1
C018,59,1669,4,1
C019,58,,4,1
C020,42,4922,5,1
C021,53,4098,5,1
C022,21,4252,0,0
C023,38,7072,2,1
C024,54,99999,1,0
C025,59,8679,3,0
C026,27,4839,1,0
C027,33,9697,4,0
C028,55,7043,2,1
C029,32,2766,4,1
C030,25,3004,5,1
C031,28,7416,4,1
C032,47,9169,,0
C033,53,688,5,1
C034,52,4871,5,1
C035,39,2327,2,1
C036,-5,8701,1,0
C037,50,2243,5,1
C038,56,3758,1,1
C039,41,3146,4,1
C040,18,5810,3,0
C041,19,2332,2,1
C042,37,4423,0,0
C043,thirty,9795,0,0
C044,22,9227,1,0
C045,26,8287,4,0
C046,56,7432,1,0
C047,52,3795,5,1
C048 ,59,6618,3,1
C049,51,7897,0,0
C050,19,9575,1,0
C051,55,4108,0,1
C052,32,1604,0,1
C053,39,1660,4,1
C054,31,9334,1,0
C055,54,9940,3,0
C056,44,3619,0,1
C057,,7562,2,0
C058,21,2112,0,1
C059,43,6059,0,0
C060,46,2796,3,1
C061,29,5063,3,1
C062,46,-1000,0,0
C063,21,9356,0,0
C064,33,3224,3,1
C065,49,8386,1,0
C066,28,6709,0,0
C067,42,4845,3,1
C068,53,8473,2 ,0
C069,30,5361,1,0
C070,52,1498,5,1
C071,38,1436,0,0
C072,51,3079,0,0
C073,50,1812,1,1
C074,33,7115,0,0
C075,54,,4,1
C076,44,9760,4,0
C077,38,4772,1,0
C078,34,6984,1,0
C079,60,5415,3,1
C080,22,652,3,1
C081,57,9724,0,0
C082,34,2670,2,1
C083,22,4502,2,0
C084,52,4500,4,1
C085,59,9166,0,0
C086,60,2197,1,1
C087,34,2391,0,0
C088,36,3950,5,1
C089,150,3835,5,1
C090,49,4614,0,0
C091,23,7439,2,0
C092,26,4791,,0
C093,46,9538,5,0
C094,22,2942,4,1
C095,20,6549,50,0
C005,56,934,4,1
C030,25,3004,5,1
C050,19,9575,1,0
C070,52,1498,5,1
C080,22,652,3,1
